menu_id,img,menu_description,menu_name,menu_title,price
11,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003659]_20210428134252131.jpg,"스트로베리와 아사이베리의 상큼, 달콤한 맛이 톡톡!",슬래머,Drink,4000
12,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004951]_20231102101647442.jpg,딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과,콜드 폼 딸기라떼,Drink,5000
13,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[18]_20210426095514018.jpg,부드럽고 담백한 신선한 우유.,우유,Drink,2500
14,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003658]_20210422080248176.jpg,"고소한 헤이즐넛과 진한 초콜릿의 만남,",플러피 판다 아이스 초콜릿,Drink,6000
15,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004952]_20231127093937845.jpg,리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,티라미수 초콜릿,Drink,5500
16,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9300000005454]_20240718125238042.jpg,고온에서 짧게 구워 겉면은 스모키하고 속은 크리미한 특징의 바스크 치즈 케이크에 초코의 달콤한 풍미를 더해 다채로운 맛을 즐길 수 있는 케이크입니다,바스크 초코 치즈케이크,Dessert,3500
17,https://image.istarbucks.co.kr/upload/store/skuimg/2021/05/[9300000003393]_20210520100142603.jpg,달콤한 초콜릿 케이크 시트에 진한 가나슈 생크림을 넣고 측면에 다크 초콜릿을 듬뿍 토핑한 달콤하고 촉촉한 초콜릿 케이크입니다.,초콜릿 생크림 케이크,Dessert,7000
18,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001055]_20210421133631796.jpg,현무암을 연상케 하는 오징어 먹물 케이크 시트 사이에 새콤한 당근 크림치즈 무스를 샌드한 컵 케이크입니다.,당근 현무암 케이크,Dessert,8000
19,https://image.istarbucks.co.kr/upload/store/skuimg/2024/08/[9300000005310]_20240802095256896.jpg,달콤하고 꾸덕한 브라우니 위에 상큼한 라즈베리 잼을 품은 초콜릿 무스를 더한 귀여운 베어리스타 케이크입니다.,베어리스타 브라우니 케이크,Dessert,12000
20,https://image.istarbucks.co.kr/upload/store/skuimg/2023/03/[9300000004518]_20230320090706386.jpg,촉촉한 케이크 시트 사이에 치즈 생크림과 한라봉 크림을 층층이 올린 후 한라봉 제스트로 마무리한 상큼한 케이크입니다.,새코롬 한라봉 크림 케이크,Dessert,8000
21,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701140929_1656652169641_bB76y9JSan.jpg,초코칩이 콕콕 박힌 촉촉한 초코 쿠키에 달콤하게 구운 마시멜로우가 만나 더 진한 초코 맛 쿠키.,초코스모어쿠키,Cookie,1200
22,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701140755_1656652075467_VlgOHqEzNj.jpg,화이트 초코칩이 가득 박힌 말차 쿠키에 달콤하게 구운 마시멜로우를 얹어 달콤쌉싸름한 매력을 간직한 쿠키.,말차스모어쿠키,Cookie,1200
23,https://img.79plus.co.kr/megahp/manager/upload/menu/20220704113933_1656902373934_smXcsfdrHY.jpg,고소한 마카다미아를 넣어 만든 메가MGC커피 시그니처 쿠키.,마카다미아 쿠키,Cookie,1200
24,https://img.79plus.co.kr/megahp/manager/upload/menu/20220704114022_1656902422672_HECxBh1Vuk.jpg,진한 초콜릿칩을 넣어 만든 메가MGC커피 시그니처 쿠키.,초콜릿칩 쿠키,Cookie,1200
25,https://img.79plus.co.kr/megahp/manager/upload/menu/20220705085545_1656978945732_Vl3Pze8Xyu.jpg,메가MGC커피 시그니처 음료 메가초코를 모티브로 만든 초코맛 마카롱.,메가초코 마카롱,Cookie,2000
